City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
389,Bani,DO,85.44,clear sky,18.2833,-70.3333,Hospedaje Henriquez
390,Bacolod,PH,78.31,overcast clouds,10.6667,122.95,Planta Hotel & Residences
392,Puerto Escondido,MX,85.03,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
394,La Asuncion,VE,77.72,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
399,Upata,VE,78.28,overcast clouds,8.0086,-62.3989,Posada Villa Nela
402,Zabid,YE,81.79,broken clouds,14.1951,43.3152,مغرب التريبه
406,Oriximina,BR,78.71,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
408,Gizo,SB,81.99,broken clouds,-8.103,156.8419,Imagination Island
410,Celestun,MX,82.83,clear sky,20.8667,-90.4,Posada Lilia
411,Kahului,US,76.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
412,Mount Isa,AU,85.77,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
414,Tonantins,BR,86.86,broken clouds,-2.8731,-67.8022,Hotel Rei Davi
416,Alugan,PH,78.89,broken clouds,12.2188,125.4808,JM Lodge
417,Natal,BR,88.45,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
419,Posse,BR,83.44,overcast clouds,-14.0931,-46.3694,Pousada das Palmeiras
422,Auki,SB,77.09,scattered clouds,-8.7676,160.7034,Auki Motel
423,Les Cayes,HT,83.62,clear sky,18.2,-73.75,Villa Orphee
424,Port-Gentil,GA,80.51,broken clouds,-0.7193,8.7815,Fengshui Residence
425,Porto Velho,BR,86.05,broken clouds,-8.7619,-63.9039,Ecos Hotel Conforto
428,Washim,IN,84.76,overcast clouds,20.1,77.15,Hotel Maniprabha
431,Caimito,CO,88.9,clear sky,8.8123,-75.4107,VIVIENDA ESTUDIANTE
441,Labrea,BR,79.72,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
446,Valparaiso,CL,79.03,clear sky,-33.0393,-71.6273,Hotel Ultramar
448,Santa Rosa,PH,81.1,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
452,Sambava,MG,78.98,light rain,-14.2667,50.1667,Melrose
453,Mahibadhoo,MV,83.16,clear sky,3.7833,72.9667,Omadhoo Inn
460,Guane,CU,86.4,few clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
461,Santarem,BR,82.53,light rain,-2.4431,-54.7083,Hotel Imperador
462,Dingle,PH,75.69,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
467,Kandrian,PG,76.08,moderate rain,-6.2167,149.55,Kandrian Station
472,Aliwal North,ZA,75.61,overcast clouds,-30.6937,26.7114,Queens Terrace B&B
474,Port Blair,IN,81.32,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
481,Buchanan,LR,84.49,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
483,Pisco,PE,77.05,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
486,Cam Ranh,VN,75.16,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
500,Aquiraz,BR,87.89,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
502,San Jose De Guanipa,VE,85.66,overcast clouds,8.8872,-64.1651,HOTEL 283 SUITES
510,Manali,IN,82.08,few clouds,13.1667,80.2667,Sarathy Lodge
515,Cocobeach,GA,80.37,overcast clouds,1.0002,9.5823,Hotel Esperance
521,Mareeba,AU,75.92,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
524,Coahuayana,MX,83.66,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
526,Santa Isabel,BR,87.51,overcast clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
530,Palembang,ID,80.69,light rain,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
531,Kalmunai,LK,77.88,broken clouds,7.4167,81.8167,VS Villa
534,Quatre Cocos,MU,79.09,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
