City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
94,Sakakah,SA,2022-03-10 17:01:32,29.9697,40.2064,67.64,42,51,6.69,broken clouds
95,Souillac,MU,2022-03-10 17:01:32,-20.5167,57.5167,79.36,85,8,8.01,clear sky
96,Nalut,LY,2022-03-10 17:01:33,30.3333,10.85,60.37,23,99,8.46,overcast clouds
97,Alyangula,AU,2022-03-10 17:01:33,-13.8483,136.4192,83.77,73,45,8.01,scattered clouds
98,Nuuk,GL,2022-03-10 17:01:31,64.1835,-51.7216,12.81,73,75,4.61,broken clouds
99,Nikolskoye,RU,2022-03-10 16:53:29,59.7035,30.7861,26.49,88,17,6.29,few clouds
100,Mahebourg,MU,2022-03-10 16:52:22,-20.4081,57.7,80.89,83,40,5.75,scattered clouds
101,Mancora,PE,2022-03-10 17:01:34,-4.1078,-81.0475,84.85,56,56,9.57,broken clouds
102,Piacabucu,BR,2022-03-10 17:01:35,-10.4056,-36.4344,85.28,64,99,11.07,overcast clouds
103,Katsuura,JP,2022-03-10 17:01:35,35.1333,140.3,53.13,64,97,7.36,overcast clouds
104,Codrington,AU,2022-03-10 17:01:36,-38.2667,141.9667,56.03,81,25,7.11,scattered clouds
105,Alofi,NU,2022-03-10 17:01:36,-19.0595,-169.9187,81.23,73,100,7.99,light rain
106,Hermanus,ZA,2022-03-10 16:52:13,-34.4187,19.2345,73.8,66,0,16.93,clear sky
107,Anadyr,RU,2022-03-10 16:53:37,64.75,177.4833,5.76,77,0,9.73,clear sky
108,Kodiak,US,2022-03-10 16:52:13,57.79,-152.4072,42.31,87,100,17.27,moderate rain
109,Namibe,AO,2022-03-10 17:01:37,-15.1961,12.1522,74.3,77,23,8.43,few clouds
110,Pevek,RU,2022-03-10 16:55:02,69.7008,170.3133,12.11,63,5,13.35,clear sky
111,Pirovskoye,RU,2022-03-10 17:01:38,57.6267,92.2658,-13.36,100,95,2.68,overcast clouds
112,Samarai,PG,2022-03-10 17:01:39,-10.6167,150.6667,81.52,79,100,5.84,overcast clouds
113,Port Augusta,AU,2022-03-10 17:01:39,-32.5,137.7667,64.44,44,17,5.12,few clouds
114,Mounana,GA,2022-03-10 17:01:40,-1.4085,13.1586,77.13,84,97,1.92,moderate rain
115,Hay River,CA,2022-03-10 16:58:15,60.8156,-115.7999,-13.02,64,20,13.8,few clouds
116,Maraa,BR,2022-03-10 17:01:40,-1.8333,-65.3667,89.56,50,57,5.64,broken clouds
117,Birao,CF,2022-03-10 17:01:41,10.2849,22.7882,93.13,8,69,4.29,broken clouds
118,Miri,MY,2022-03-10 17:00:49,4.4148,114.0089,76.96,87,100,1.21,overcast clouds
119,Saldanha,ZA,2022-03-10 16:57:28,-33.0117,17.9442,80.65,84,15,17.78,few clouds
120,Kruisfontein,ZA,2022-03-10 17:01:41,-34.0033,24.7314,71.89,82,50,7.74,scattered clouds
121,Namatanai,PG,2022-03-10 17:01:42,-3.6667,152.4333,78.8,80,100,2.1,overcast clouds
122,Daru,PG,2022-03-10 17:01:42,-9.0763,143.2092,78.39,88,99,4.81,overcast clouds
123,Mkushi,ZM,2022-03-10 17:01:43,-13.6202,29.3939,65.86,97,43,5.44,scattered clouds
124,Springdale,US,2022-03-10 17:01:43,36.1867,-94.1288,54.72,49,0,12.66,clear sky
125,Tabuk,PH,2022-03-10 17:01:44,17.4189,121.4443,71.71,86,100,2.15,overcast clouds
126,Turukhansk,RU,2022-03-10 17:01:45,65.8167,87.9833,-25.96,100,99,4.59,overcast clouds
127,Riyadh,SA,2022-03-10 16:58:48,24.6877,46.7219,91.54,11,19,17.85,few clouds
128,Cabedelo,BR,2022-03-10 17:01:46,-6.9811,-34.8339,85.82,59,94,14.56,overcast clouds
129,Shenzhen,CN,2022-03-10 16:59:18,22.5455,114.0683,69.75,80,0,5.21,clear sky
130,Saint George,US,2022-03-10 16:51:02,37.1041,-113.5841,41.59,65,100,19.57,overcast clouds
131,Chaves,US,2022-03-10 17:01:47,33.3834,-104.4505,36.01,44,0,14.97,clear sky
132,Iqaluit,CA,2022-03-10 16:53:32,63.7506,-68.5145,-5.31,83,75,2.3,broken clouds
133,Ewa Beach,US,2022-03-10 16:56:23,21.3156,-158.0072,74.7,86,7,3.0,clear sky
134,Hindaun,IN,2022-03-10 17:01:47,26.7167,77.0167,74.53,31,39,2.71,scattered clouds
135,Kavieng,PG,2022-03-10 17:01:48,-2.5744,150.7967,81.46,75,96,3.65,overcast clouds
136,Amapa,BR,2022-03-10 17:01:48,1.0,-52.0,75.33,98,100,1.14,overcast clouds
137,Lagoa,PT,2022-03-10 17:02:49,39.05,-27.9833,56.53,62,100,29.01,overcast clouds
138,Ostrovnoy,RU,2022-03-10 17:02:49,68.0531,39.5131,24.31,87,86,21.83,overcast clouds
139,Saint-Philippe,RE,2022-03-10 17:02:50,-21.3585,55.7679,80.19,84,39,9.53,scattered clouds
140,Havre,FR,2022-03-10 17:02:50,49.5833,0.3333,58.77,58,100,10.36,overcast clouds
141,Port Hawkesbury,CA,2022-03-10 17:02:50,45.6169,-61.3485,43.79,66,27,7.0,scattered clouds
142,Arraial Do Cabo,BR,2022-03-10 17:02:51,-22.9661,-42.0278,79.77,81,3,18.23,clear sky
143,Krasnovishersk,RU,2022-03-10 17:02:51,60.4078,57.082,-7.24,99,67,3.0,broken clouds
144,Saint-Donat-De-Montcalm,CA,2022-03-10 17:02:52,46.3187,-74.2219,28.83,70,57,12.15,broken clouds
145,Mamallapuram,IN,2022-03-10 17:02:52,12.6264,80.1722,82.06,71,19,8.41,few clouds
146,Flinders,AU,2022-03-10 17:02:53,-34.5833,150.8552,63.18,76,93,7.0,overcast clouds
147,Ponta Do Sol,PT,2022-03-10 17:02:53,32.6667,-17.1,70.43,76,40,8.66,scattered clouds
148,Desaguadero,PE,2022-03-10 17:02:54,-16.5656,-69.0417,53.1,60,92,5.19,overcast clouds
149,Alexandria,EG,2022-03-10 17:00:04,31.2156,29.9553,57.2,57,7,28.59,clear sky
150,Airai,TL,2022-03-10 17:02:54,-8.9266,125.4092,60.91,94,99,1.41,overcast clouds
151,Elat,IL,2022-03-10 17:02:55,29.5581,34.9482,67.05,33,7,18.37,clear sky
152,Vestmannaeyjar,IS,2022-03-10 16:53:40,63.4427,-20.2734,47.39,93,100,23.02,fog
153,Olkhovka,RU,2022-03-10 17:02:55,53.2115,60.6069,4.32,97,100,9.66,overcast clouds
154,Lorengau,PG,2022-03-10 17:02:56,-2.0226,147.2712,79.72,78,96,1.63,overcast clouds
155,Tuktoyaktuk,CA,2022-03-10 17:02:56,69.4541,-133.0374,-16.15,100,100,5.97,overcast clouds
156,Aripuana,BR,2022-03-10 17:02:57,-9.1667,-60.6333,77.86,89,95,3.74,overcast clouds
157,Avarua,CK,2022-03-10 16:53:42,-21.2078,-159.775,80.65,83,75,8.05,broken clouds
158,Beneditinos,BR,2022-03-10 17:02:57,-5.45,-42.3667,91.45,50,98,1.43,overcast clouds
159,Allahganj,IN,2022-03-10 17:02:58,27.55,79.6833,72.23,33,0,7.07,clear sky
160,Ishigaki,JP,2022-03-10 17:02:58,24.3448,124.1572,69.39,68,100,14.85,overcast clouds
161,Broome,US,2022-03-10 17:02:58,42.2506,-75.833,43.47,69,0,5.75,clear sky
162,Port Alfred,ZA,2022-03-10 16:53:35,-33.5906,26.891,73.83,86,23,9.75,few clouds
163,Haimen,CN,2022-03-10 17:02:59,23.1935,116.6142,64.72,80,0,0.87,clear sky
164,Verkhnyaya Inta,RU,2022-03-10 17:03:00,65.9811,60.3094,-5.03,95,27,8.23,scattered clouds
165,Husavik,IS,2022-03-10 16:53:40,66.0449,-17.3389,38.28,87,100,11.77,overcast clouds
166,Gazimurskiy Zavod,RU,2022-03-10 17:03:00,51.5461,118.3266,15.66,91,98,11.3,overcast clouds
167,Salinopolis,BR,2022-03-10 17:03:01,-0.6136,-47.3561,79.41,86,92,8.21,moderate rain
168,San Rafael,AR,2022-03-10 17:03:01,-34.6177,-68.3301,75.33,25,0,9.13,clear sky
169,Zonguldak,TR,2022-03-10 17:03:02,41.25,31.8333,27.77,79,100,6.17,light snow
170,Fortuna,US,2022-03-10 17:03:02,40.5982,-124.1573,45.99,93,6,1.99,clear sky
171,Grand Gaube,MU,2022-03-10 17:03:03,-20.0064,57.6608,79.38,86,1,1.99,clear sky
172,Alice Springs,AU,2022-03-10 16:49:36,-23.7,133.8833,66.22,33,9,0.0,clear sky
173,Sao Joao Da Barra,BR,2022-03-10 16:53:33,-21.6403,-41.0511,87.89,72,5,11.39,clear sky
174,Nanortalik,GL,2022-03-10 17:03:03,60.1432,-45.2371,14.31,64,0,13.71,clear sky
175,Yanam,IN,2022-03-10 17:03:04,16.7333,82.2167,72.73,79,2,2.33,clear sky
176,Marsa Matruh,EG,2022-03-10 17:03:04,31.3525,27.2453,54.1,64,32,24.52,scattered clouds
177,Ngunguru,NZ,2022-03-10 17:03:05,-35.6167,174.5,66.27,73,11,10.22,few clouds
178,Baruun-Urt,MN,2022-03-10 17:03:05,46.6806,113.2792,23.5,48,16,2.75,few clouds
179,Maine-Soroa,NE,2022-03-10 17:03:06,13.2114,12.0241,90.73,13,52,12.24,broken clouds
180,Goderich,CA,2022-03-10 17:03:06,43.7501,-81.7165,29.91,70,100,8.19,overcast clouds
181,Verneuil-Sur-Seine,FR,2022-03-10 17:03:07,48.9739,1.9648,61.92,44,0,10.36,clear sky
182,Arrecife,ES,2022-03-10 17:03:07,28.963,-13.5477,66.18,72,20,16.11,few clouds
183,Bilibino,RU,2022-03-10 17:04:08,68.0546,166.4372,-6.23,85,7,4.99,clear sky
184,Longyearbyen,SJ,2022-03-10 17:02:02,78.2186,15.6401,30.04,93,100,13.8,light snow
185,Mountain Home,US,2022-03-10 17:03:00,43.133,-115.6912,24.28,100,0,12.66,clear sky
186,Saint-Georges,GD,2022-03-10 17:04:09,12.0564,-61.7485,78.93,81,94,14.05,overcast clouds
187,Cuamba,MZ,2022-03-10 17:04:09,-14.8031,36.5372,71.83,83,99,4.07,overcast clouds
188,Russell,US,2022-03-10 17:00:15,32.3502,-85.1999,64.96,71,75,3.44,broken clouds
189,Sarangani,PH,2022-03-10 17:04:10,5.4033,125.4636,82.31,78,73,8.34,broken clouds
190,Vila Velha,BR,2022-03-10 16:56:14,-20.3297,-40.2925,80.55,69,20,0.0,few clouds
191,Mar Del Plata,AR,2022-03-10 16:52:38,-38.0023,-57.5575,71.62,63,0,13.8,clear sky
192,Shingu,JP,2022-03-10 17:04:11,33.7333,135.9833,44.51,58,75,5.7,broken clouds
193,Algiers,DZ,2022-03-10 17:04:11,36.7525,3.042,66.02,49,0,8.05,clear sky
194,Porto Seguro,BR,2022-03-10 17:04:12,-16.4497,-39.0647,82.92,83,75,3.44,light rain
195,Tingo Maria,PE,2022-03-10 17:04:12,-9.2895,-76.0088,84.09,57,96,2.68,overcast clouds
196,Fairbanks,US,2022-03-10 17:00:23,64.8378,-147.7164,21.16,81,100,5.75,light snow
197,Ayaviri,PE,2022-03-10 17:04:13,-14.8864,-70.5889,56.39,48,100,3.85,overcast clouds
198,Maningrida,AU,2022-03-10 16:57:35,-12.0667,134.2667,80.19,77,94,1.61,overcast clouds
199,Tigil,RU,2022-03-10 17:04:14,57.8,158.6667,11.97,91,100,2.93,overcast clouds
200,Aguie,NE,2022-03-10 17:04:14,13.506,7.7786,95.88,10,21,11.5,few clouds
201,Mvomero,TZ,2022-03-10 17:04:14,-6.25,38.6667,78.67,78,79,6.22,broken clouds
202,Castro,BR,2022-03-10 17:04:15,-24.7911,-50.0119,75.38,80,62,6.44,broken clouds
203,Constitucion,CL,2022-03-10 17:04:15,-35.3333,-72.4167,68.74,49,0,18.1,clear sky
204,Dawlatabad,AF,2022-03-10 17:04:16,36.4141,64.9053,60.55,65,36,9.95,scattered clouds
205,Acapulco,MX,2022-03-10 17:02:04,16.8634,-99.8901,82.67,53,0,5.77,clear sky
206,Tura,IN,2022-03-10 17:04:16,25.5198,90.2201,70.47,27,3,1.52,clear sky
207,San Cristobal,VE,2022-03-10 17:04:17,7.7669,-72.225,80.33,52,50,4.76,scattered clouds
208,Lavrentiya,RU,2022-03-10 17:04:17,65.5833,-171.0,1.4,69,0,14.41,clear sky
209,Tilichiki,RU,2022-03-10 17:04:18,60.4667,166.1,2.44,91,28,9.95,scattered clouds
210,La Paz,BO,2022-03-10 17:00:06,-16.5,-68.15,54.7,59,97,2.95,overcast clouds
211,Taksimo,RU,2022-03-10 17:03:43,56.3444,114.8794,-1.89,87,95,4.32,overcast clouds
212,Nome,US,2022-03-10 17:04:18,64.5011,-165.4064,19.47,69,0,28.77,clear sky
213,Yangjiang,CN,2022-03-10 17:04:19,21.85,111.9667,66.11,86,5,2.46,clear sky
214,Iquitos,PE,2022-03-10 17:04:19,-3.7481,-73.2472,92.66,46,69,3.67,broken clouds
215,Bambous Virieux,MU,2022-03-10 17:04:20,-20.3428,57.7575,79.21,82,2,9.06,light rain
216,Ilulissat,GL,2022-03-10 17:04:20,69.2167,-51.1,8.62,47,75,1.14,broken clouds
217,Bilma,NE,2022-03-10 17:04:20,18.6853,12.9164,82.71,13,3,11.45,clear sky
218,Puerto Carreno,CO,2022-03-10 17:04:21,6.189,-67.4859,88.68,50,99,3.2,overcast clouds
219,Talnakh,RU,2022-03-10 17:04:22,69.4865,88.3972,-26.39,99,98,5.5,overcast clouds
220,Harindanga,IN,2022-03-10 17:04:22,22.0383,88.3214,76.06,54,62,5.95,broken clouds
221,Necochea,AR,2022-03-10 17:00:14,-38.5473,-58.7368,74.03,36,1,14.63,clear sky
222,Hobart,AU,2022-03-10 17:04:23,-42.8794,147.3294,55.26,71,100,5.75,overcast clouds
223,Phalaborwa,ZA,2022-03-10 17:04:23,-23.943,31.1411,82.27,31,31,6.44,scattered clouds
224,Saint Anthony,US,2022-03-10 17:04:23,45.0205,-93.218,20.89,56,20,12.66,few clouds
225,Vestmanna,FO,2022-03-10 17:04:24,62.1564,-7.1664,40.12,81,20,16.11,few clouds
226,Port Hardy,CA,2022-03-10 17:00:16,50.6996,-127.4199,43.75,68,100,4.36,overcast clouds
227,Sarankhola,BD,2022-03-10 17:04:24,22.3082,89.7897,72.75,50,38,4.76,scattered clouds
228,Hami,CN,2022-03-10 17:04:25,42.8,93.45,50.63,32,100,4.56,overcast clouds
229,Poum,NC,2022-03-10 17:04:25,-20.2333,164.0167,80.82,74,32,13.24,scattered clouds
230,Kaniama,CD,2022-03-10 17:02:16,-7.5667,24.1833,71.49,90,99,3.15,light rain
231,Halifax,CA,2022-03-10 17:05:26,44.6453,-63.5724,40.21,83,70,11.99,broken clouds
232,Carnarvon,AU,2022-03-10 17:05:27,-24.8667,113.6333,78.87,89,0,8.05,clear sky
233,Cabo San Lucas,MX,2022-03-10 17:01:54,22.8909,-109.9124,73.62,68,3,1.01,clear sky
234,East London,ZA,2022-03-10 17:05:27,-33.0153,27.9116,75.78,79,22,8.84,few clouds
235,Thompson,CA,2022-03-10 17:04:30,55.7435,-97.8558,6.37,85,100,2.33,overcast clouds
236,Dobre Miasto,PL,2022-03-10 17:05:28,53.9867,20.3975,29.68,45,1,6.78,clear sky
237,Urumqi,CN,2022-03-10 17:05:28,43.801,87.6005,40.15,70,0,4.47,clear sky
238,Buenos Aires,AR,2022-03-10 17:02:55,-34.6132,-58.3772,78.94,60,78,8.16,broken clouds
239,Pervomayskoye,RU,2022-03-10 17:05:29,43.919,46.7102,38.07,52,99,5.14,overcast clouds
240,Ambilobe,MG,2022-03-10 17:05:30,-13.2,49.05,75.54,95,100,2.1,overcast clouds
241,Juba,SS,2022-03-10 17:00:34,4.8517,31.5825,95.47,20,100,5.5,overcast clouds
242,Sarh,TD,2022-03-10 17:02:14,9.1429,18.3923,99.64,11,89,2.98,overcast clouds
243,Hunchun,CN,2022-03-10 17:05:31,42.8675,130.3581,42.89,75,36,6.4,scattered clouds
244,Namie,JP,2022-03-10 17:05:31,37.4833,141.0,31.71,80,0,5.66,clear sky
245,Svetlyy,RU,2022-03-10 17:05:31,54.675,20.1347,32.05,47,14,8.39,few clouds
246,Baturaja,ID,2022-03-10 17:05:32,-4.1333,104.1667,72.99,99,100,4.47,moderate rain
247,Bayji,IQ,2022-03-10 17:05:32,34.9311,43.487,62.22,44,26,0.25,scattered clouds
248,Villa Carlos Paz,AR,2022-03-10 17:05:33,-31.4241,-64.4978,75.4,39,100,7.0,overcast clouds
249,Pedasi,PA,2022-03-10 17:05:33,7.5333,-80.0333,92.07,64,16,12.3,few clouds
250,Esperance,AU,2022-03-10 17:00:57,-33.8667,121.9,65.34,72,100,13.89,overcast clouds
251,Severo-Yeniseyskiy,RU,2022-03-10 17:05:34,60.3725,93.0408,-22.49,100,98,3.04,overcast clouds
