City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
211,Bonavista,CA,2022-03-03 22:50:43,48.6499,-53.1147,29.12,68,100,12.3
212,Mar Del Plata,AR,2022-03-03 22:49:11,-38.0023,-57.5575,68.02,86,0,28.01
213,Oudtshoorn,ZA,2022-03-03 22:50:44,-33.5907,22.2014,62.96,78,79,5.7
214,Waipawa,NZ,2022-03-03 22:50:44,-41.4122,175.5153,64.92,61,100,2.55
215,Esperance,AU,2022-03-03 22:50:45,-33.8667,121.9,57.04,70,12,8.55
216,Tabuk,PH,2022-03-03 22:50:45,17.4189,121.4443,71.04,92,94,3.76
217,Laguna,US,2022-03-03 22:50:46,38.421,-121.4238,71.64,56,0,12.66
218,Joshimath,IN,2022-03-03 22:50:46,30.5667,79.5667,34.81,63,22,9.89
219,Chilca,PE,2022-03-03 22:50:47,-12.5211,-76.7372,77.16,79,83,4.45
220,Padang,ID,2022-03-03 22:47:38,-0.9492,100.3543,73.45,85,100,2.19
221,Naze,JP,2022-03-03 22:50:47,28.3667,129.4833,45.52,66,0,4.97
222,Lokosovo,RU,2022-03-03 22:50:48,61.1333,74.8167,26.73,94,100,11.05
223,Suntar,RU,2022-03-03 22:50:48,62.1444,117.6319,-0.22,99,100,2.62
224,Port Lincoln,AU,2022-03-03 22:46:46,-34.7333,135.8667,66.85,73,100,9.84
225,Georgetown,MY,2022-03-03 22:48:57,5.4112,100.3354,80.53,93,20,4.61
226,Fortuna,US,2022-03-03 22:50:49,40.5982,-124.1573,54.86,83,100,17.27
227,Acapulco,MX,2022-03-03 22:51:14,16.8634,-99.8901,84.13,56,0,11.25
228,Paka,MY,2022-03-03 22:51:50,4.6374,103.4368,76.98,94,100,2.3
229,Cayeli,TR,2022-03-03 22:51:50,41.0923,40.7292,40.98,96,100,9.69
230,Maarianhamina,AX,2022-03-03 22:51:50,60.0973,19.9348,28.26,80,0,5.75
231,Kupang,ID,2022-03-03 22:51:51,-10.1667,123.5833,79.3,86,63,3.44
232,Zhicheng,CN,2022-03-03 22:51:51,30.2956,111.5047,52.39,82,0,3.18
233,Tiarei,PF,2022-03-03 22:51:52,-17.5333,-149.3333,86.0,76,8,15.68
234,Clyde River,CA,2022-03-03 22:51:52,70.4692,-68.5914,7.03,85,100,20.71
235,Qaqortoq,GL,2022-03-03 22:51:53,60.7167,-46.0333,13.46,66,81,15.21
236,Pevek,RU,2022-03-03 22:51:53,69.7008,170.3133,-14.49,99,97,0.81
237,Bengkulu,ID,2022-03-03 22:48:32,-3.8004,102.2655,74.16,93,100,9.04
238,Damghan,IR,2022-03-03 22:51:54,36.1683,54.348,57.7,38,100,5.48
239,Bartica,GY,2022-03-03 22:51:54,6.4,-58.6167,80.92,96,99,3.44
240,Longyearbyen,SJ,2022-03-03 22:51:55,78.2186,15.6401,8.1,96,100,2.33
241,Svetlyy,RU,2022-03-03 22:51:55,54.675,20.1347,35.65,93,65,8.39
242,Sao Joao Do Piaui,BR,2022-03-03 22:51:55,-8.3581,-42.2467,75.07,76,88,4.61
243,Manta,EC,2022-03-03 22:51:56,-0.95,-80.7333,82.18,74,40,5.75
244,Saskylakh,RU,2022-03-03 22:51:56,71.9167,114.0833,-29.92,100,99,3.6
245,Shimoda,JP,2022-03-03 22:51:57,34.6667,138.95,43.11,79,80,13.98
246,Krasnaya Yaruga,RU,2022-03-03 22:51:57,50.8008,35.6583,32.11,96,100,15.37
247,Gamba,GA,2022-03-03 22:51:57,-2.65,10.0,79.2,88,84,3.94
248,Balkanabat,TM,2022-03-03 22:51:58,39.5108,54.3671,71.29,27,100,11.77
249,Hovd,MN,2022-03-03 22:51:58,48.0056,91.6419,1.96,63,14,6.08
250,Kamenka,RU,2022-03-03 22:51:59,51.3223,42.7678,32.76,95,100,14.27
251,Binzhou,CN,2022-03-03 22:51:59,37.3667,118.0167,52.5,23,53,17.67
252,Numaligarh,IN,2022-03-03 22:52:00,26.6333,93.75,63.34,54,24,2.48
